subject,n_samples,mean_violation_fraction,stdev_violation_fraction,mean_random_topological_objective,stdev_random_topological_objective,seqrefactor_objective
billing_cycle_v1,200,0.4967,0.1671,0,0.0,0
conflict_chain_depth2,200,0.5,0.5013,0.36,0.0,0.36
conflict_chain_depth3,200,0.5033,0.3222,0.37,0.0,0.37
conflict_chain_depth4,200,0.4883,0.2384,0.3359,0.0,0.3359
conflict_chain_depth5,200,0.4825,0.2296,0.3243,0.0,0.3243
conflict_pair_a,200,0.505,0.5012,0.36,0.0,0.36
conflict_pair_b,200,0.49,0.5012,0.36,0.0,0.36
conflict_pair_c,200,0.455,0.4992,0.36,0.0,0.36
conflict_width_2,200,0.49,0.4071,0.6675,0.0114,0.6796
conflict_width_4,200,0.5125,0.3664,1.1278,0.0236,1.1659
conflict_width_6,200,0.505,0.3512,1.2986,0.0255,1.3505
notification_mixed_v1,200,0.48,0.1659,0.46,0.0,0.46
pilot_checkout_v1,200,0.4833,0.335,1.5111,0.0476,1.6095
synth_large_cycle,200,0.5123,0.1398,2.1267,0.1283,2.6514
synth_large_high,200,0.4882,0.141,2.6362,0.1496,3.0867
synth_large_low,200,0.4644,0.219,2.7537,0.1483,3.1466
synth_large_medium,200,0.4677,0.1704,2.6704,0.1497,3.2661
synth_medium_cycle,200,0.4955,0.1611,1.814,0.1059,2.1597
synth_medium_high,200,0.5122,0.1826,2.5067,0.152,3.049
synth_medium_high_signed,200,0.5107,0.2023,2.8473,0.1097,3.1303
synth_medium_low,200,0.496,0.2614,1.868,0.0928,2.1757
synth_medium_low_signed,200,0.5086,0.2132,2.2908,0.1169,2.6079
synth_medium_medium,200,0.5036,0.2025,2.5009,0.1332,2.854
synth_small_cycle,200,0.4908,0.1722,1.3722,0.0391,1.4401
synth_small_high,200,0.507,0.2422,1.7811,0.087,2.0011
synth_small_low,200,0.51,0.3204,1.7978,0.0464,1.8505
synth_small_medium,200,0.5112,0.2679,1.987,0.0734,2.1571
synth_xlarge_medium,200,0.5,0.1497,2.7183,0.2055,3.6384
